delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5
0xe4036aca909cd049f9a7b7333961e1c1db7fb35c,15876.545013857864,0.0450190752679598,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xe31b7439693889cae4490eb6e7ca88fb23b1d11b,15834.927793445808,0.044901066672479,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550,15220.555788944212,0.0431589710534987,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xbe93d14c5defb8f41af8fb092f58e3c71c712b85,14997.594716539705,0.0425267490372073,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xeae03eb54eb26b38057544895e834af42fc46a69,14895.555063406717,0.0422374083260701,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x4929f4d38f2955649b5aa34343da04cf790b9d92,14774.782760047818,0.0418949498497169,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x509aaf71f59b61f6e2184f8c2db7da0bacf6d53a,13972.461333688916,0.0396199102456455,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x5bde5b306c96c899bc870a026de91543ff2359ea,13854.0366796589,0.0392841086963345,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xa5a25adcfd24b980e480f875aa2086571047e14d,13634.203519297964,0.0386607560976398,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf70ef4fc0fecea687083f66ea835932bfde82282,13395.491601730637,0.0379838714369694,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
